2024-06-17 20:19:45 - User ID: 1, IP: ::1, Action: Register
2024-06-17 20:20:16 - User ID: 1, IP: ::1, Action: Successful Login
2024-06-17 20:21:05 - User ID: 1, IP: ::1, Action: Create Tought
2024-06-17 20:21:18 - User ID: 1, IP: ::1, Action: Update Tought
2024-06-17 20:21:23 - User ID: 1, IP: ::1, Action: Remove Tought
2024-06-17 20:22:01 - User ID: 1, IP: ::1, Action: Logout
2024-06-17 20:22:16 - User ID: 1, IP: ::1, Action: Failed Login - Incorrect Password
2024-06-17 20:22:20 - User ID: 1, IP: ::1, Action: Failed Login - Incorrect Password
2024-06-17 20:22:23 - User ID: 1, IP: ::1, Action: Failed Login - Account Locked
2024-06-17 20:27:36 - User ID: 1, IP: ::1, Action: Failed Login - Incorrect Password
2024-06-17 20:28:08 - User ID: 2, IP: ::1, Action: Register
2024-06-17 20:28:17 - User ID: 2, IP: ::1, Action: Successful Login
2024-06-17 20:28:24 - User ID: 2, IP: ::1, Action: Logout
2024-06-17 20:30:35 - User ID: 3, IP: ::1, Action: Register
2024-06-17 20:30:47 - User ID: 3, IP: ::1, Action: Successful Login
2024-06-17 20:31:28 - User ID: 3, IP: ::1, Action: Create Tought
2024-06-17 20:31:36 - User ID: 3, IP: ::1, Action: Create Tought
2024-06-17 20:32:03 - User ID: 3, IP: ::1, Action: Remove Tought
2024-06-17 20:32:05 - User ID: 3, IP: ::1, Action: Remove Tought
2024-06-17 20:32:34 - User ID: 3, IP: ::1, Action: Create Tought
2024-06-17 21:00:50 - User ID: 3, IP: ::1, Action: Logout
2024-06-18 01:16:04 - User ID: 4, IP: ::1, Action: Register
2024-06-18 01:16:15 - User ID: 4, IP: ::1, Action: Successful Login
2024-06-18 01:16:25 - User ID: 4, IP: ::1, Action: Create Tought
2024-06-18 01:16:28 - User ID: 4, IP: ::1, Action: Update Tought
